"Geographic Area Name (NAME)","Year (YEAR)","2017 NAPCS collection code (NAPCS2017)","Meaning of NAPCS collection code (NAPCS2017_LABEL)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Type of operation code (TYPOP_LABEL)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue of NAPCS collection code ($1,000) (NAPCSDOL)","Industry contribution to total NAPCS collection code sales, value of shipments, or revenue (%) (NAICSALL_PCT)","Range indicating percent of total NAPCS collection code sales, value of shipments, or revenue imputed (NAPCSDOL_IMP)","Relative standard error of NAPCS collection code sales, value of shipments, or revenue (%) (NAPCSDOL_S)"
"United States","2017","7000050000","Alcoholic beverages, prepared and served or dispensed for immediate consumption","445291","Baked goods stores","All establishments","31","411 (s)","0.0","80% to less than 90%","85.6"
"United States","2017","7000050000","Alcoholic beverages, prepared and served or dispensed for immediate consumption","445292","Confectionery and nut stores","All establishments","5","110","0.0","30% to less than 40%","36.4"
"United States","2017","7000050000","Alcoholic beverages, prepared and served or dispensed for immediate consumption","445299","All other specialty food stores","All establishments","60","5,856","0.0","40% to less than 50%","39.2"
"United States","2017","7000050000","Alcoholic beverages, prepared and served or dispensed for immediate consumption","445310","Beer, wine, and liquor stores","All establishments","1,875","213,385","0.2","40% to less than 50%","8.7"
"United States","2017","7000050000","Alcoholic beverages, prepared and served or dispensed for immediate consumption","447110","Gasoline stations with convenience stores","All establishments","337","40,873 (s)","0.0","60% to less than 70%","62.8"
"United States","2017","7000050000","Alcoholic beverages, prepared and served or dispensed for immediate consumption","452210","Department stores","All establishments","D","D","D","D","D"
"United States","2017","7000050000","Alcoholic beverages, prepared and served or dispensed for immediate consumption","453220","Gift, novelty, and souvenir stores","All establishments","S","A","S","S","S"
"United States","2017","7000050000","Alcoholic beverages, prepared and served or dispensed for immediate consumption","453991","Tobacco stores","All establishments","81","7,441","0.0","40% to less than 50%","26.6"
"United States","2017","7000050000","Alcoholic beverages, prepared and served or dispensed for immediate consumption","454110","Electronic shopping and mail-order houses","All establishments","S","A","S","S","S"
"United States","2017","7000060000","Meals, snacks, other food items, and beverages prepared for catered events","445110","Supermarkets and other grocery (except convenience) stores","All establishments","10,885","787,127","2.8","40% to less than 50%","7.5"
"United States","2017","7000060000","Meals, snacks, other food items, and beverages prepared for catered events","445120","Convenience stores","All establishments","2,586","83,656","0.3","80% to less than 90%","13.3"
"United States","2017","7000060000","Meals, snacks, other food items, and beverages prepared for catered events","445210","Meat markets","All establishments","739","31,951","0.1","50% to less than 60%","27.8"
"United States","2017","7000060000","Meals, snacks, other food items, and beverages prepared for catered events","445220","Fish and seafood markets","All establishments","68","7,208","0.0","10% to less than 20%","30.1"
"United States","2017","7000060000","Meals, snacks, other food items, and beverages prepared for catered events","445230","Fruit and vegetable markets","All establishments","68","5,409 (s)","0.0","30% to less than 40%","52.3"
"United States","2017","7000060000","Meals, snacks, other food items, and beverages prepared for catered events","445291","Baked goods stores","All establishments","79","998","0.0","40% to less than 50%","33.0"
"United States","2017","7000060000","Meals, snacks, other food items, and beverages prepared for catered events","445292","Confectionery and nut stores","All establishments","13","436","0.0","20% to less than 30%","13.1"
"United States","2017","7000060000","Meals, snacks, other food items, and beverages prepared for catered events","445299","All other specialty food stores","All establishments","368","11,950","0.0","50% to less than 60%","33.8"
"United States","2017","7000060000","Meals, snacks, other food items, and beverages prepared for catered events","445310","Beer, wine, and liquor stores","All establishments","543","13,164","0.0","20% to less than 30%","36.2"
"United States","2017","7000060000","Meals, snacks, other food items, and beverages prepared for catered events","446191","Food (health) supplement stores","All establishments","D","D","D","D","D"
"United States","2017","7000060000","Meals, snacks, other food items, and beverages prepared for catered events","447110","Gasoline stations with convenience stores","All establishments","S","A","S","S","S"
"United States","2017","7000060000","Meals, snacks, other food items, and beverages prepared for catered events","453220","Gift, novelty, and souvenir stores","All establishments","20","593 (s)","0.0","80% to less than 90%","90.3"
"United States","2017","7000060000","Meals, snacks, other food items, and beverages prepared for catered events","453310","Used merchandise stores","All establishments","S","A","S","S","S"
"United States","2017","7000060000","Meals, snacks, other food items, and beverages prepared for catered events","453991","Tobacco stores","All establishments","67","3,109","0.0","40% to less than 50%","38.2"
"United States","2017","7000060000","Meals, snacks, other food items, and beverages prepared for catered events","454110","Electronic shopping and mail-order houses","All establishments","D","D","D","D","D"
"United States","2017","7000060000","Meals, snacks, other food items, and beverages prepared for catered events","454210","Vending machine operators","All establishments","241","175,470","0.6","50% to less than 60%","9.9"
"United States","2017","7000075000","Rental of formal wear, costumes, and accessories","444220","Nursery, garden center, and farm supply stores","All establishments","S","A","S","S","S"
"United States","2017","7000075000","Rental of formal wear, costumes, and accessories","448110","Men's clothing stores","All establishments","2,069","574,640","42.9","30% to less than 40%","3.9"
"United States","2017","7000075000","Rental of formal wear, costumes, and accessories","448120","Women's clothing stores","All establishments","S","A","S","S","S"
"United States","2017","7000075000","Rental of formal wear, costumes, and accessories","448140","Family clothing stores","All establishments","1,164","18,890","1.4","50% to less than 60%","19.5"
"United States","2017","7000075000","Rental of formal wear, costumes, and accessories","448190","Other clothing stores","All establishments","512","32,360","2.4","30% to less than 40%","27.2"
"United States","2017","7000075000","Rental of formal wear, costumes, and accessories","448210","Shoe stores","All establishments","58","2,605 (s)","0.2","60% to less than 70%","74.7"
"United States","2017","7000075000","Rental of formal wear, costumes, and accessories","448310","Jewelry stores","All establishments","16","309 (s)","0.0","Less than 10%","41.0"
"United States","2017","7000075000","Rental of formal wear, costumes, and accessories","451120","Hobby, toy, and game stores","All establishments","22","276","0.0","80% to less than 90%","35.2"
"United States","2017","7000100000","Access to laundry machines","447110","Gasoline stations with convenience stores","All establishments","43","1,134","0.0","60% to less than 70%","36.3"
"United States","2017","7000150000","Dry-cleaning services","442291","Window treatment stores","All establishments","23","301","0.0","20% to less than 30%","14.2"
"United States","2017","7000200000","Maintenance, repair, and alteration services for apparel, footwear, watches, and jewelry","447110","Gasoline stations with convenience stores","All establishments","D","D","D","D","D"
"United States","2017","7000200000","Maintenance, repair, and alteration services for apparel, footwear, watches, and jewelry","448110","Men's clothing stores","All establishments","2,084","207,416","8.3","30% to less than 40%","3.7"
"United States","2017","7000200000","Maintenance, repair, and alteration services for apparel, footwear, watches, and jewelry","448120","Women's clothing stores","All establishments","159","2,282","0.1","50% to less than 60%","26.3"
"United States","2017","7000200000","Maintenance, repair, and alteration services for apparel, footwear, watches, and jewelry","448130","Children's and infants' clothing stores","All establishments","24","1,113 (s)","0.0","60% to less than 70%","67.5"
"United States","2017","7000200000","Maintenance, repair, and alteration services for apparel, footwear, watches, and jewelry","448140","Family clothing stores","All establishments","344","16,211","0.6","40% to less than 50%","16.0"
"United States","2017","7000200000","Maintenance, repair, and alteration services for apparel, footwear, watches, and jewelry","448150","Clothing accessories stores","All establishments","108","4,419","0.2","40% to less than 50%","16.8"
"United States","2017","7000200000","Maintenance, repair, and alteration services for apparel, footwear, watches, and jewelry","448190","Other clothing stores","All establishments","487","35,485","1.4","20% to less than 30%","17.5"
"United States","2017","7000200000","Maintenance, repair, and alteration services for apparel, footwear, watches, and jewelry","448210","Shoe stores","All establishments","368","18,281","0.7","30% to less than 40%","11.9"
"United States","2017","7000200000","Maintenance, repair, and alteration services for apparel, footwear, watches, and jewelry","448310","Jewelry stores","All establishments","5,248","600,994","23.9","50% to less than 60%","5.9"
"United States","2017","7000200000","Maintenance, repair, and alteration services for apparel, footwear, watches, and jewelry","448320","Luggage and leather goods stores","All establishments","18","483","0.0","60% to less than 70%","6.1"
"United States","2017","7000200000","Maintenance, repair, and alteration services for apparel, footwear, watches, and jewelry","452210","Department stores","All establishments","D","D","D","D","D"
"United States","2017","7000200000","Maintenance, repair, and alteration services for apparel, footwear, watches, and jewelry","453310","Used merchandise stores","All establishments","10","364 (s)","0.0","Less than 10%","71.3"
"United States","2017","7000200000","Maintenance, repair, and alteration services for apparel, footwear, watches, and jewelry","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","5","248 (s)","0.0","20% to less than 30%","47.9"
"United States","2017","7000200000","Maintenance, repair, and alteration services for apparel, footwear, watches, and jewelry","454110","Electronic shopping and mail-order houses","All establishments","55","322 (s)","0.0","10% to less than 20%","48.8"
"United States","2017","7000250000","Agent and brokerage services for the sale and rental of residential real estate","453930","Manufactured (mobile) home dealers","All establishments","D","D","D","D","D"
"United States","2017","7000275000","Home, apartment, rooming house, and other residential space rental and leasing","453930","Manufactured (mobile) home dealers","All establishments","43","8,755 (s)","0.0","20% to less than 30%","42.0"
"United States","2017","7000450000","Household moving services","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","4","704 (s)","0.0","70% to less than 80%","70.7"
"United States","2017","7000500000","On-site cleaning services for carpets, rugs, and upholstery, residential","442110","Furniture stores","All establishments","18","19 (s)","0.0","40% to less than 50%","65.7"
"United States","2017","7000500000","On-site cleaning services for carpets, rugs, and upholstery, residential","442210","Floor covering stores","All establishments","413","27,557","1.7","40% to less than 50%","20.0"
"United States","2017","7000500000","On-site cleaning services for carpets, rugs, and upholstery, residential","442291","Window treatment stores","All establishments","14","24 (s)","0.0","60% to less than 70%","63.0"
"United States","2017","7000550000","Building security system monitoring services, residential","444190","Other building material dealers","All establishments","S","A","S","S","S"
"United States","2017","7000575000","Building security system and lock installation and repair services, residential","444130","Hardware stores","All establishments","S","A","S","S","S"
"United States","2017","7000600000","Key duplication services","444130","Hardware stores","All establishments","S","A","S","S","S"
"United States","2017","7000645000","Residential landscaping services","444130","Hardware stores","All establishments","S","A","S","S","S"
"United States","2017","7000645000","Residential landscaping services","444210","Outdoor power equipment stores","All establishments","29","7,541","0.0","Less than 10%","17.3"
"United States","2017","7000645000","Residential landscaping services","444220","Nursery, garden center, and farm supply stores","All establishments","1,197","357,835","1.4","50% to less than 60%","10.3"
"United States","2017","7000645000","Residential landscaping services","453110","Florists","All establishments","10","779","0.0","30% to less than 40%","34.7"
"United States","2017","7000700000","Rental services for home furniture, furnishings, and accessories","442110","Furniture stores","All establishments","D","D","D","D","D"
"United States","2017","7000725000","Rental of household type appliances","443141","Household appliance stores","All establishments","D","D","D","D","D"
"United States","2017","7000725000","Rental of household type appliances","444110","Home centers","All establishments","D","D","D","D","D"
"United States","2017","7000725000","Rental of household type appliances","444130","Hardware stores","All establishments","389","3,299","0.1","50% to less than 60%","18.5"
"United States","2017","7000725000","Rental of household type appliances","444190","Other building material dealers","All establishments","D","D","D","D","D"
"United States","2017","7000725000","Rental of household type appliances","454310","Fuel dealers","All establishments","12","5,256","0.1","50% to less than 60%","37.7"
"United States","2017","7000725000","Rental of household type appliances","454390","Other direct selling establishments","All establishments","60","5,843 (s)","0.2","70% to less than 80%","42.5"
"United States","2017","7000750000","Rental and leasing of general homeowner tools and do-it-yourself equipment","442210","Floor covering stores","All establishments","40","549","0.0","40% to less than 50%","29.6"
"United States","2017","7000750000","Rental and leasing of general homeowner tools and do-it-yourself equipment","443141","Household appliance stores","All establishments","19","58 (s)","0.0","Less than 10%","88.6"
"United States","2017","7000750000","Rental and leasing of general homeowner tools and do-it-yourself equipment","444110","Home centers","All establishments","D","D","D","D","D"
"United States","2017","7000750000","Rental and leasing of general homeowner tools and do-it-yourself equipment","444120","Paint and wallpaper stores","All establishments","D","D","D","D","D"
"United States","2017","7000750000","Rental and leasing of general homeowner tools and do-it-yourself equipment","444130","Hardware stores","All establishments","2,423","149,959","7.1","50% to less than 60%","12.8"
"United States","2017","7000750000","Rental and leasing of general homeowner tools and do-it-yourself equipment","444190","Other building material dealers","All establishments","D","D","D","D","D"
"United States","2017","7000750000","Rental and leasing of general homeowner tools and do-it-yourself equipment","444210","Outdoor power equipment stores","All establishments","13","1,124","0.1","20% to less than 30%","28.1"
"United States","2017","7000750000","Rental and leasing of general homeowner tools and do-it-yourself equipment","444220","Nursery, garden center, and farm supply stores","All establishments","13","1,558","0.1","40% to less than 50%","38.7"
"United States","2017","7000760000","Rental and leasing of social events equipment","442299","All other home furnishings stores","All establishments","S","A","S","S","S"
"United States","2017","7000760000","Rental and leasing of social events equipment","453220","Gift, novelty, and souvenir stores","All establishments","S","A","S","S","S"
"United States","2017","7000765000","Rental and leasing of household and personal goods, not elsewhere classified","443141","Household appliance stores","All establishments","33","11,195 (s)","1.5","60% to less than 70%","42.3"
"United States","2017","7000765000","Rental and leasing of household and personal goods, not elsewhere classified","443142","Electronics stores","All establishments","32","3,937","0.5","10% to less than 20%","12.2"
"United States","2017","7000765000","Rental and leasing of household and personal goods, not elsewhere classified","444130","Hardware stores","All establishments","D","D","D","D","D"
"United States","2017","7000765000","Rental and leasing of household and personal goods, not elsewhere classified","444190","Other building material dealers","All establishments","D","D","D","D","D"
"United States","2017","7000765000","Rental and leasing of household and personal goods, not elsewhere classified","453220","Gift, novelty, and souvenir stores","All establishments","5","176 (s)","0.0","50% to less than 60%","60.1"
"United States","2017","7000770000","Off-site cleaning and repair services for home furniture, furnishings, and accessories, except curtain and drape cleaning services","442110","Furniture stores","All establishments","525","76,345","4.5","30% to less than 40%","6.4"
"United States","2017","7000770000","Off-site cleaning and repair services for home furniture, furnishings, and accessories, except curtain and drape cleaning services","442210","Floor covering stores","All establishments","75","10,228","0.6","20% to less than 30%","33.4"
"United States","2017","7000770000","Off-site cleaning and repair services for home furniture, furnishings, and accessories, except curtain and drape cleaning services","442291","Window treatment stores","All establishments","44","5,295 (s)","0.3","60% to less than 70%","71.2"
"United States","2017","7000775000","Maintenance and repair services for home operation appliances and equipment","441228","Motorcycle, ATV, and all other motor vehicle dealers","All establishments","26","2,067 (s)","0.0","60% to less than 70%","94.4"
"United States","2017","7000775000","Maintenance and repair services for home operation appliances and equipment","442110","Furniture stores","All establishments","4","1,497 (s)","0.0","30% to less than 40%","57.3"
"United States","2017","7000775000","Maintenance and repair services for home operation appliances and equipment","442299","All other home furnishings stores","All establishments","32","1,560 (s)","0.0","70% to less than 80%","52.5"
"United States","2017","7000775000","Maintenance and repair services for home operation appliances and equipment","443141","Household appliance stores","All establishments","D","D","D","D","D"
"United States","2017","7000775000","Maintenance and repair services for home operation appliances and equipment","443142","Electronics stores","All establishments","D","D","D","D","D"
"United States","2017","7000775000","Maintenance and repair services for home operation appliances and equipment","444110","Home centers","All establishments","83","2,372 (s)","0.0","40% to less than 50%","61.0"
"United States","2017","7000775000","Maintenance and repair services for home operation appliances and equipment","444120","Paint and wallpaper stores","All establishments","3","54","0.0","30% to less than 40%","27.5"
"United States","2017","7000775000","Maintenance and repair services for home operation appliances and equipment","444130","Hardware stores","All establishments","1,221","49,463","0.7","40% to less than 50%","13.6"
"United States","2017","7000775000","Maintenance and repair services for home operation appliances and equipment","444190","Other building material dealers","All establishments","283","120,076","1.7","40% to less than 50%","16.4"
"United States","2017","7000775000","Maintenance and repair services for home operation appliances and equipment","444210","Outdoor power equipment stores","All establishments","105","24,627","0.4","50% to less than 60%","17.2"
"United States","2017","7000775000","Maintenance and repair services for home operation appliances and equipment","444220","Nursery, garden center, and farm supply stores","All establishments","17","2,230 (s)","0.0","60% to less than 70%","56.5"
"United States","2017","7000775000","Maintenance and repair services for home operation appliances and equipment","447110","Gasoline stations with convenience stores","All establishments","16","260 (s)","0.0","20% to less than 30%","85.0"
"United States","2017","7000775000","Maintenance and repair services for home operation appliances and equipment","447190","Other gasoline stations","All establishments","36","7,052","0.1","Less than 10%","24.3"
"United States","2017","7000775000","Maintenance and repair services for home operation appliances and equipment","453220","Gift, novelty, and souvenir stores","All establishments","D","D","D","D","D"
"United States","2017","7000775000","Maintenance and repair services for home operation appliances and equipment","453310","Used merchandise stores","All establishments","D","D","D","D","D"
"United States","2017","7000775000","Maintenance and repair services for home operation appliances and equipment","454110","Electronic shopping and mail-order houses","All establishments","D","D","D","D","D"
"United States","2017","7000775000","Maintenance and repair services for home operation appliances and equipment","454310","Fuel dealers","All establishments","3,026","1,374,168","20.0","30% to less than 40%","8.8"
"United States","2017","7000800000","Maintenance and repair services for household and personal goods, not elsewhere classified","442110","Furniture stores","All establishments","1,210","210,328","25.1","20% to less than 30%","4.9"
"United States","2017","7000800000","Maintenance and repair services for household and personal goods, not elsewhere classified","442210","Floor covering stores","All establishments","7","5,768","0.7","Less than 10%","18.1"
"United States","2017","7000800000","Maintenance and repair services for household and personal goods, not elsewhere classified","442291","Window treatment stores","All establishments","126","7,245 (s)","0.9","70% to less than 80%","69.6"
"United States","2017","7000800000","Maintenance and repair services for household and personal goods, not elsewhere classified","442299","All other home furnishings stores","All establishments","1,151","73,063","8.7","70% to less than 80%","18.5"
"United States","2017","7000800000","Maintenance and repair services for household and personal goods, not elsewhere classified","443141","Household appliance stores","All establishments","259","16,403","2.0","50% to less than 60%","22.3"
"United States","2017","7000800000","Maintenance and repair services for household and personal goods, not elsewhere classified","443142","Electronics stores","All establishments","377","51,254 (s)","6.1","90% to 100%","90.9"
"United States","2017","7000800000","Maintenance and repair services for household and personal goods, not elsewhere classified","444130","Hardware stores","All establishments","S","A","S","S","S"
"United States","2017","7000800000","Maintenance and repair services for household and personal goods, not elsewhere classified","444190","Other building material dealers","All establishments","33","12,014 (s)","1.4","50% to less than 60%","40.5"
"United States","2017","7000800000","Maintenance and repair services for household and personal goods, not elsewhere classified","448210","Shoe stores","All establishments","D","D","D","D","D"
"United States","2017","7000800000","Maintenance and repair services for household and personal goods, not elsewhere classified","448320","Luggage and leather goods stores","All establishments","S","A","S","S","S"
"United States","2017","7000800000","Maintenance and repair services for household and personal goods, not elsewhere classified","452210","Department stores","All establishments","D","D","D","D","D"
"United States","2017","7000800000","Maintenance and repair services for household and personal goods, not elsewhere classified","453210","Office supplies and stationery stores","All establishments","1,621","4,326","0.5","Less than 10%","0.6"
"United States","2017","7000800000","Maintenance and repair services for household and personal goods, not elsewhere classified","453220","Gift, novelty, and souvenir stores","All establishments","D","D","D","D","D"
"United States","2017","7000800000","Maintenance and repair services for household and personal goods, not elsewhere classified","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","22","5,051 (s)","0.6","60% to less than 70%","65.3"
"United States","2017","7000800000","Maintenance and repair services for household and personal goods, not elsewhere classified","454110","Electronic shopping and mail-order houses","All establishments","11","143 (s)","0.0","50% to less than 60%","57.3"
"United States","2017","7000800000","Maintenance and repair services for household and personal goods, not elsewhere classified","454390","Other direct selling establishments","All establishments","S","A","S","S","S"
"United States","2017","7000925000","Rental of home audiovisual equipment (including cable program distribution equipment), components, and accessories, except computers and peripherals","443142","Electronics stores","All establishments","100","18,400","0.3","60% to less than 70%","33.9"
"United States","2017","7000950000","Rental of pre-recorded cassettes, tapes, discs, or video games ","443142","Electronics stores","All establishments","47","1,507","0.1","80% to less than 90%","29.7"
"United States","2017","7000950000","Rental of pre-recorded cassettes, tapes, discs, or video games ","445110","Supermarkets and other grocery (except convenience) stores","All establishments","1,232","11,927","0.6","60% to less than 70%","9.9"
"United States","2017","7000950000","Rental of pre-recorded cassettes, tapes, discs, or video games ","445120","Convenience stores","All establishments","188","956 (s)","0.0","80% to less than 90%","52.6"
"United States","2017","7000950000","Rental of pre-recorded cassettes, tapes, discs, or video games ","445310","Beer, wine, and liquor stores","All establishments","S","A","S","S","S"
"United States","2017","7000950000","Rental of pre-recorded cassettes, tapes, discs, or video games ","446110","Pharmacies and drug stores","All establishments","11","23 (s)","0.0","10% to less than 20%","48.2"
"United States","2017","7000950000","Rental of pre-recorded cassettes, tapes, discs, or video games ","447110","Gasoline stations with convenience stores","All establishments","1,836","9,635 (s)","0.5","30% to less than 40%","43.9"
"United States","2017","7000950000","Rental of pre-recorded cassettes, tapes, discs, or video games ","447190","Other gasoline stations","All establishments","734","23,685","1.1","Less than 10%","1.4"
"United States","2017","7000950000","Rental of pre-recorded cassettes, tapes, discs, or video games ","453220","Gift, novelty, and souvenir stores","All establishments","25","1,788","0.1","30% to less than 40%","15.1"
"United States","2017","7000975000","Maintenance and repair services for home audio and visual equipment","443141","Household appliance stores","All establishments","D","D","D","D","D"
"United States","2017","7000975000","Maintenance and repair services for home audio and visual equipment","443142","Electronics stores","All establishments","2,743","782,077","39.2","10% to less than 20%","5.2"
"United States","2017","7000975000","Maintenance and repair services for home audio and visual equipment","444190","Other building material dealers","All establishments","S","A","S","S","S"
"United States","2017","7000975000","Maintenance and repair services for home audio and visual equipment","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","9","958 (s)","0.0","40% to less than 50%","46.6"
"United States","2017","7000975000","Maintenance and repair services for home audio and visual equipment","454110","Electronic shopping and mail-order houses","All establishments","D","D","D","D","D"
"United States","2017","7001425000","Specialty content for consumers","444120","Paint and wallpaper stores","All establishments","10","281","0.0","70% to less than 80%","0.0"
"United States","2017","7001450000","Specialty content for trade, professional, and business","446191","Food (health) supplement stores","All establishments","S","A","D","S","S"
"United States","2017","7001600000","Admissions to live performing arts performances","445110","Supermarkets and other grocery (except convenience) stores","All establishments","D","D","D","D","D"
"United States","2017","7001625000","Admissions to cultural institutions","453220","Gift, novelty, and souvenir stores","All establishments","3","502","0.0","20% to less than 30%","27.7"
"United States","2017","7001800000","Rental services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","441222","Boat dealers","All establishments","158","24,451","0.8","50% to less than 60%","33.8"
"United States","2017","7001800000","Rental services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","441228","Motorcycle, ATV, and all other motor vehicle dealers","All establishments","305","63,002","2.0","40% to less than 50%","21.0"
"United States","2017","7001800000","Rental services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","442110","Furniture stores","All establishments","S","A","S","S","S"
"United States","2017","7001800000","Rental services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","442299","All other home furnishings stores","All establishments","7","3,830 (s)","0.1","60% to less than 70%","95.1"
"United States","2017","7001800000","Rental services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","443142","Electronics stores","All establishments","S","A","S","S","S"
"United States","2017","7001800000","Rental services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","448110","Men's clothing stores","All establishments","32","269 (s)","0.0","40% to less than 50%","70.5"
"United States","2017","7001800000","Rental services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","448140","Family clothing stores","All establishments","68","5,204","0.2","40% to less than 50%","31.8"
"United States","2017","7001800000","Rental services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","448190","Other clothing stores","All establishments","S","A","S","S","S"
"United States","2017","7001800000","Rental services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","451110","Sporting goods stores","All establishments","1,660","167,063","5.4","30% to less than 40%","7.4"
"United States","2017","7001800000","Rental services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","451140","Musical instrument and supplies stores","All establishments","1,428","212,600","6.9","20% to less than 30%","5.9"
"United States","2017","7001800000","Rental services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","453310","Used merchandise stores","All establishments","8","371 (s)","0.0","Less than 10%","84.7"
"United States","2017","7001800000","Rental services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","454110","Electronic shopping and mail-order houses","All establishments","D","D","D","D","D"
"United States","2017","7001825000","Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","441210","Recreational vehicle dealers","All establishments","17","5,353","0.1","Less than 10%","34.4"
"United States","2017","7001825000","Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","441222","Boat dealers","All establishments","1,479","843,350","13.5","30% to less than 40%","6.8"
"United States","2017","7001825000","Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","441228","Motorcycle, ATV, and all other motor vehicle dealers","All establishments","2,976","1,398,925","22.3","30% to less than 40%","3.2"
"United States","2017","7001825000","Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","441310","Automotive parts and accessories stores","All establishments","D","D","D","D","D"
"United States","2017","7001825000","Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","442299","All other home furnishings stores","All establishments","7","593 (s)","0.0","60% to less than 70%","94.9"
"United States","2017","7001825000","Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","443142","Electronics stores","All establishments","46","603 (s)","0.0","50% to less than 60%","61.5"
"United States","2017","7001825000","Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","448110","Men's clothing stores","All establishments","S","A","S","S","S"
"United States","2017","7001825000","Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","448140","Family clothing stores","All establishments","49","1,753","0.0","20% to less than 30%","18.6"
"United States","2017","7001825000","Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","448190","Other clothing stores","All establishments","S","A","S","S","S"
"United States","2017","7001825000","Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","448210","Shoe stores","All establishments","17","55","0.0","30% to less than 40%","38.0"
"United States","2017","7001825000","Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","451110","Sporting goods stores","All establishments","4,840","320,887","5.1","40% to less than 50%","6.3"
"United States","2017","7001825000","Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","451120","Hobby, toy, and game stores","All establishments","18","16 (s)","0.0","80% to less than 90%","58.6"
"United States","2017","7001825000","Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","451140","Musical instrument and supplies stores","All establishments","1,528","91,128","1.5","20% to less than 30%","7.8"
"United States","2017","7001825000","Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","452311","Warehouse clubs and supercenters","All establishments","D","D","D","D","D"
"United States","2017","7001825000","Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","453310","Used merchandise stores","All establishments","D","D","D","D","D"
"United States","2017","7001825000","Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","454110","Electronic shopping and mail-order houses","All establishments","59","8,275 (s)","0.1","30% to less than 40%","60.6"
"United States","2017","7001825000","Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)","454390","Other direct selling establishments","All establishments","S","A","S","S","S"
"United States","2017","7001875000","Skiing facility services","451110","Sporting goods stores","All establishments","4","1,974","0.1","10% to less than 20%","0.0"
"United States","2017","7001900000","Fitness and recreational sports center services, except roller and ice skating rink services","451110","Sporting goods stores","All establishments","4","1,841 (s)","0.0","50% to less than 60%","60.5"
"United States","2017","7002025000","All other recreation, sports, and fitness services","451110","Sporting goods stores","All establishments","45","27,537","0.4","50% to less than 60%","32.8"
"United States","2017","7002075000","Hunting and fishing guide services","451110","Sporting goods stores","All establishments","5","2,077 (s)","0.6","50% to less than 60%","55.4"
"United States","2017","7002100000","Fitness evaluation and personal fitness training services","451110","Sporting goods stores","All establishments","10","131 (s)","0.0","60% to less than 70%","85.7"
"United States","2017","7002200000","Overnight recreational camp accommodation, including camp tuition and fees","453220","Gift, novelty, and souvenir stores","All establishments","D","D","D","D","D"
"United States","2017","7002225000","Pleasure craft docking, launching, utilities, and storage services","441222","Boat dealers","All establishments","756","171,000","7.1","30% to less than 40%","12.5"
